Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
36,Entry long,2021-10-01,Long,48123.9,0.111678,5374.380904,1572.1,29.23,2122.48,39.46,-141.36,-2.63,5956.7,595.67
37,Exit long,2021-10-28,Margin call,58449.4,0.000472,27.5881168,-0.03,-0.11,0,0.00,-0.02,-0.05,5952.86,595.29
37,Entry long,2021-10-27,Long,58449.4,0.000472,27.5881168,-0.03,-0.11,0,0.00,-0.02,-0.05,5952.86,595.29
38,Exit long,2021-11-12,Trail L,64156.1,0.118459,6923.857475,668.36,9.64,1269.67,18.33,-110.48,-1.59,6625.03,662.50
38,Entry long,2021-10-27,Long,58449.4,0.118459,6923.857475,668.36,9.64,1269.67,18.33,-110.48,-1.59,6625.03,662.50
39,Exit long,2021-12-24,Margin call,50817.9,0.000116,5.8948764,-0.01,-0.11,0,0.00,-0.003,-0.05,6620.83,662.08
39,Entry long,2021-12-23,Long,50817.9,0.000116,5.8948764,-0.01,-0.11,0,0.00,-0.003,-0.05,6620.83,662.08
40,Exit long,2021-12-30,Exit L,47095,0.149817,7613.385324,-565.88,-7.43,193.08,2.53,-744.04,-9.77,6059.14,605.91
40,Entry long,2021-12-23,Long,50817.9,0.149817,7613.385324,-565.88,-7.43,193.08,2.53,-744.04,-9.77,6059.14,605.91
41,Exit short,2022-02-18,Margin call,40491.8,0.174135,7051.022179,-7.78,-0.11,0,0.00,-3.9,-0.06,6051.36,605.14
41,Entry short,2022-02-17,Short,40491.7,0.174135,7051.022179,-7.78,-0.11,0,0.00,-3.9,-0.06,6051.36,605.14
42,Exit short,2022-03-05,Margin call,39127.7,0.00014,5.477878,-0.01,-0.11,0,0.00,-0.003,-0.05,6047.49,604.75
42,Entry short,2022-03-04,Short,39127.7,0.00014,5.477878,-0.01,-0.11,0,0.00,-0.003,-0.05,6047.49,604.75
43,Exit short,2022-03-05,Margin call,39580,0.01604,627.608308,-7.95,-1.27,0,0.00,-7.6,-1.21,6039.88,603.99
43,Entry short,2022-03-04,Short,39127.7,0.01604,627.608308,-7.95,-1.27,0,0.00,-7.6,-1.21,6039.88,603.99
44,Exit short,2022-03-09,Margin call,42647.5,0.049704,1944.803201,-177.22,-9.11,98.04,5.04,-176.05,-9.05,5863.73,586.37
44,Entry short,2022-03-04,Short,39127.7,0.049704,1944.803201,-177.22,-9.11,98.04,5.04,-176.05,-9.05,5863.73,586.37
45,Exit short,2022-03-16,Exit S,41105.8,0.114231,4469.596299,-231.09,-5.17,225.31,5.04,-404.61,-9.05,5635.1,563.51
45,Entry short,2022-03-04,Short,39127.7,0.114231,4469.596299,-231.09,-5.17,225.31,5.04,-404.61,-9.05,5635.1,563.51
46,Exit short,2022-04-07,Margin call,43888,0.020268,874.7607996,-15.73,-1.80,9.14,1.04,-15.24,-1.74,5616.2,561.62
46,Entry short,2022-04-06,Short,43159.7,0.020268,874.7607996,-15.73,-1.80,9.14,1.04,-15.24,-1.74,5616.2,561.62
47,Exit short,2022-04-13,Trail S,41129.8,0.13335,5755.345995,264.56,4.59,533.41,9.26,-110.98,-1.93,5883.92,588.39
47,Entry short,2022-04-06,Short,43159.7,0.13335,5755.345995,264.56,4.59,533.41,9.26,-110.98,-1.93,5883.92,588.39
48,Exit short,2022-05-06,Margin call,36533.7,0.000104,3.7996088,-0.004,-0.11,0,0.00,-0.002,-0.05,5880.14,588.01
48,Entry short,2022-05-05,Short,36534.7,0.000104,3.7996088,-0.004,-0.11,0,0.00,-0.002,-0.05,5880.14,588.01
49,Exit short,2022-05-06,Margin call,36679.3,0.005668,207.0786796,-1.05,-0.51,0,0.00,-0.93,-0.45,5879.2,587.92
